tool,nthreads,size,repetitions,usec
PTHREADS,1,100,20,282
PTHREADS,2,100,20,348
PTHREADS,4,100,20,432
PTHREADS,1,10000,20,1701
PTHREADS,2,10000,20,1401
PTHREADS,4,10000,20,993
PTHREADS,1,1000000,20,81561
PTHREADS,2,1000000,20,60684
PTHREADS,4,1000000,20,38646
PTHREADS,1,5000000,20,1607442
PTHREADS,2,5000000,20,287124
PTHREADS,4,5000000,20,193332
PTHREADS,1,100,2000,1920
PTHREADS,2,100,2000,897
PTHREADS,4,100,2000,765
PTHREADS,1,10000,2000,75030
PTHREADS,2,10000,2000,60933
PTHREADS,4,10000,2000,32949
PTHREADS,1,1000000,2000,7417275
PTHREADS,2,1000000,2000,4493325
PTHREADS,4,1000000,2000,3584373
PTHREADS,1,5000000,2000,36423084
PTHREADS,2,5000000,2000,20165343
PTHREADS,4,5000000,2000,17774208
PTHREADS,1,100,20000,13566
PTHREADS,2,100,20000,8139
PTHREADS,4,100,20000,3798
PTHREADS,1,10000,20000,721068
PTHREADS,2,10000,20000,512256
PTHREADS,4,10000,20000,347565
PTHREADS,1,1000000,20000,73294350
PTHREADS,2,1000000,20000,41530230
PTHREADS,4,1000000,20000,35603367
PTHREADS,1,5000000,20000,365212305
PTHREADS,2,5000000,20000,211201503
PTHREADS,4,5000000,20000,176362056
PTHREADS,1,100,100000,41160
PTHREADS,2,100,100000,33522
PTHREADS,4,100,100000,23574
PTHREADS,1,10000,100000,3572304
PTHREADS,2,10000,100000,2344368
PTHREADS,4,10000,100000,1715844
